City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,badger,64.8,-147.5333,-17.86,72,75,0.0,US,1708273977
83,bermeo,43.4209,-2.7215,18.23,78,74,3.93,ES,1708273978
84,puerto natales,-51.7236,-72.4875,18.25,48,75,12.86,CL,1708273978
85,najran,17.4924,44.1277,23.36,31,13,3.31,SA,1708273978
86,cova figueira,14.8905,-24.2934,22.91,64,0,7.4,CV,1708273978
87,darwin,-12.4611,130.8418,28.99,85,75,5.66,AU,1708273978
88,namibe,-15.1961,12.1522,25.24,79,40,3.51,AO,1708273980
89,necochea,-38.5473,-58.7368,24.17,64,65,4.84,AR,1708273980
90,anaconda,46.1285,-112.9423,-9.45,62,99,2.19,US,1708273980
91,tumut,-35.3,148.2167,19.15,71,97,1.66,AU,1708273980
92,la ronge,55.1001,-105.2842,-16.86,71,20,4.12,CA,1708273981
93,rumbek,6.802,29.6912,33.65,15,84,2.07,SS,1708273981
94,punta arenas,-53.15,-70.9167,16.06,55,0,9.77,CL,1708273884
95,calvinia,-31.4707,19.776,29.81,10,0,4.64,ZA,1708273982
96,san antonio,29.4241,-98.4936,8.95,43,0,3.6,US,1708273867
97,kiunga,-6.1219,141.2906,23.62,100,99,0.39,PG,1708273982
98,bel ombre,-4.6167,55.4167,29.91,74,40,7.72,SC,1708273983
99,minas de marcona,-15.2119,-75.1103,24.55,63,65,4.33,PE,1708273983
100,guarapari,-20.6667,-40.4975,27.16,80,100,2.08,BR,1708273822
101,holma,9.9008,13.0567,32.27,11,4,1.62,NG,1708273983
102,kapa'a,22.0752,-159.319,21.18,61,20,8.75,US,1708273983
103,kulhudhuffushi,6.6221,73.07,28.07,75,68,5.1,MV,1708273984
104,chonchi,-42.6128,-73.8092,17.56,38,86,1.93,CL,1708273912
105,humaita,-7.5061,-63.0208,30.25,67,99,1.84,BR,1708273984
106,antofagasta,-23.65,-70.4,23.6,65,98,3.18,CL,1708273701
107,midvagur,62.0511,-7.1939,7.46,100,75,3.09,FO,1708273984
108,st. john's,47.5649,-52.7093,-2.07,95,100,13.89,CA,1708273970
109,mil'kovo,55.6078,37.7956,-1.92,91,89,4.22,RU,1708273985
110,wildeshausen,52.9,8.4333,8.95,94,100,6.17,DE,1708273985
111,peniscola,40.3359,0.3613,19.82,71,100,2.65,ES,1708273985
112,puerto ayora,-0.7393,-90.3518,29.98,100,61,3.13,EC,1708273985
113,qarazhal,48.0078,70.7903,-23.28,91,8,4.28,KZ,1708273986
114,wailua homesteads,22.0669,-159.378,20.44,62,20,8.75,US,1708273986
115,tsetserleg,47.475,101.4542,-31.78,95,11,1.36,MN,1708273986
116,puerto maldonado,-12.6,-69.1833,32.22,66,75,3.6,PE,1708273986
117,fortuna,40.5982,-124.1573,10.52,85,0,7.2,US,1708273987
118,labrador city,52.9463,-66.9114,-22.05,64,100,1.03,CA,1708273811
119,kargil,34.5667,76.1,-7.06,89,100,2.09,IN,1708273987
120,ghadamis,30.1337,9.5007,22.87,17,100,4.77,LY,1708273987
121,anna regina,7.2644,-58.5077,29.11,62,42,4.85,GY,1708273987
122,ruidoso,33.3317,-105.673,10.03,100,0,0.0,US,1708273987
123,tondano,1.3038,124.9112,20.05,87,67,0.88,ID,1708273988
124,aasiaat,68.7098,-52.8699,-13.85,91,100,4.49,GL,1708273988
125,bilibino,68.0546,166.4372,-26.14,85,99,1.61,RU,1708273988
126,georgetown,5.4112,100.3354,28.96,91,20,2.06,MY,1708273834
127,uren',57.4552,45.7852,-4.7,96,100,2.92,RU,1708273989
128,santa elena de uairen,4.6167,-61.1333,31.08,31,10,3.49,VE,1708273989
129,hauterive,46.0901,3.4459,12.42,75,100,0.81,FR,1708273989
130,georgievka,49.3314,81.5761,-32.27,94,93,1.78,KZ,1708273989
131,arraial do cabo,-22.9661,-42.0278,28.98,74,0,6.17,BR,1708273989
132,praia da vitoria,38.7333,-27.0667,19.14,68,20,3.34,PT,1708273990
133,uturoa,-16.7333,-151.4333,28.08,79,100,5.54,PF,1708273990
134,cabo san lucas,22.8909,-109.9124,22.17,56,0,0.0,MX,1708273829
135,kavaratti,10.5669,72.642,28.08,71,16,1.89,IN,1708273990
136,papatowai,-46.5619,169.4708,15.88,67,100,7.45,NZ,1708273991
137,egilsstadir,65.2653,-14.3948,5.95,75,0,2.06,IS,1708273991
138,thompson,55.7435,-97.8558,-21.91,64,20,4.63,CA,1708273991
139,ilulissat,69.2167,-51.1,-4.99,80,20,4.12,GL,1708273991
140,balykshi,47.0667,51.8667,-5.0,46,0,7.0,KZ,1708273992
141,suoyarvi,62.0833,32.35,-7.77,89,50,4.25,RU,1708273992
142,carmo do cajuru,-20.1842,-44.7711,29.57,50,61,3.79,BR,1708273821
143,solnechnyy,50.7214,136.6319,-14.98,93,100,3.72,RU,1708273993
144,bikenibeu village,1.3673,173.1241,27.98,89,75,3.09,KI,1708273993
145,gargalianoi,37.0667,21.6333,12.34,77,0,3.03,GR,1708273994
146,olyokminsk,60.3736,120.4264,-27.49,90,100,3.81,RU,1708273994
147,port saint john's,-31.6229,29.5448,21.95,86,100,3.28,ZA,1708273994
148,hailar,49.2,119.7,-22.46,97,100,5.17,CN,1708273994
149,hobyo,5.3505,48.5268,26.21,74,73,7.07,SO,1708273995
150,petropavlovsk-kamchatsky,53.0452,158.6483,-15.67,83,0,6.26,RU,1708273995
151,howrah,22.5892,88.3103,23.0,78,0,3.09,IN,1708273995
152,hadibu,12.65,54.0333,24.96,58,58,2.57,YE,1708273995
153,kuraymah,18.55,31.85,22.51,12,84,5.4,SD,1708273996
154,tamanrasset,22.785,5.5228,23.95,9,0,7.2,DZ,1708273996
155,east grand forks,47.93,-97.0245,-2.87,68,20,5.66,US,1708273996
156,mount pearl,47.5166,-52.7813,-2.53,95,100,13.89,CA,1708273997
157,khanty-mansiysk,61.0042,69.0019,-17.72,65,0,6.0,RU,1708273997
158,otaki,-40.7583,175.15,17.87,84,69,0.89,NZ,1708273997
159,borgarnes,64.5383,-21.9206,7.03,98,100,2.66,IS,1708273998
160,kindu,-2.95,25.95,23.07,95,100,0.74,CD,1708273998
161,conceicao do araguaia,-8.2578,-49.2647,33.33,55,50,1.09,BR,1708273998
162,chkalovsk,56.7647,43.2433,-6.3,88,100,5.61,RU,1708273998
163,hithadhoo,-0.6,73.0833,28.41,80,100,5.16,MV,1708273999
164,thai binh,20.45,106.3333,22.1,91,64,3.17,VN,1708273742
165,khandyga,62.6667,135.6,-31.61,98,100,1.62,RU,1708273999
166,polyarnyy,69.1989,33.4478,-5.28,85,89,9.51,RU,1708273999
167,ust-tsilma,65.441,52.1498,-9.1,92,100,5.81,RU,1708274000
168,puerto baquerizo moreno,-0.9,-89.6,28.55,74,40,1.54,EC,1708274000
169,benguela,-12.5763,13.4055,29.03,75,68,3.96,AO,1708274001
170,san patricio,28.017,-97.5169,8.92,39,0,4.04,US,1708274001
171,marang,5.2056,103.2059,26.95,87,55,0.63,MY,1708274001
172,berezovo,63.9381,65.0419,-13.44,87,100,8.43,RU,1708274001
173,mount gambier,-37.8333,140.7667,12.36,93,8,2.76,AU,1708274002
174,susuman,62.7833,148.1667,-36.12,93,100,0.89,RU,1708274000
175,tindouf,27.6711,-8.1474,23.25,20,0,9.26,DZ,1708274001
176,bullsbrook,-31.6667,116.0,36.03,17,100,8.75,AU,1708274002
177,conel,6.2022,125.1872,24.32,87,33,3.28,PH,1708274003
178,summerlin south,36.1027,-115.3811,11.88,49,1,1.14,US,1708273755
179,prienai,54.6333,23.95,-0.4,69,100,0.85,LT,1708274003
180,bardai,11.65,7.2333,30.32,13,86,3.52,NG,1708274003
181,eregli,37.5133,34.0467,3.79,95,100,1.44,TR,1708274004
182,potosi,-19.5836,-65.7531,14.34,50,99,3.92,BO,1708274004
183,jamestown,42.097,-79.2353,-4.23,68,99,8.49,US,1708273827
184,hrazdan,40.4975,44.7662,-1.28,93,83,2.59,AM,1708274004
185,howard springs,-12.497,131.047,28.95,94,100,3.9,AU,1708274005
186,makokou,0.5738,12.8642,26.93,65,99,1.69,GA,1708274005
187,bac lieu,9.285,105.7244,25.66,84,6,5.09,VN,1708274005
188,chibougamau,49.9168,-74.3659,-17.21,71,0,2.57,CA,1708273946
189,dudinka,69.4058,86.1778,-24.1,90,100,4.92,RU,1708273953
190,ain leuh,33.2921,-5.3384,14.03,41,0,4.99,MA,1708274006
191,brisas de zicatela,15.8369,-97.0419,29.29,65,20,3.6,MX,1708274006
192,jaguaribe,-5.8906,-38.6219,33.69,50,87,2.37,BR,1708274006
193,greenland,43.0362,-70.8328,-0.08,51,75,4.63,US,1708274006
194,yemva,62.59,50.8594,-7.27,93,100,4.96,RU,1708274007
195,santa maria del oro,25.9333,-105.3667,14.97,40,0,1.6,MX,1708274007
196,nova vicosa,-17.8919,-39.3719,25.8,87,100,4.16,BR,1708274007
197,hakui,36.8833,136.7833,10.78,80,1,1.61,JP,1708274008
